what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347243221633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243222850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243279587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243280149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243280149
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243280164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243287533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243288158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243291436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243292795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243299539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243301662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243308344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243311014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243316041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243317071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243320818
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243322145
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243331138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243335181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243336181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243336181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243336259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243346188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243347624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243348545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243357085
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243358038
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243362393
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243366406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243367061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243376179
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243377412
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243378224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243378880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243378895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243378911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243388481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243389012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243391307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243399816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243421110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243421626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243423843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347243454208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347243454833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243462576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243502465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243503667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243524306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243525228
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243562603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243563758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243570877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243571174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243594607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243606394
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243623956
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243626329
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347243639396
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243640973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243646952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243657286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243661673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243668105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243671227
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347243672710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347243673647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243673928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243682670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243688134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243692724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347243697157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243700451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243701294
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243706930
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243717905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243720387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243734156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243743538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243788420
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243794197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243802564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243803735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243803907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243803922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243804047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243815053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243819877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347243824217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243827667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243827667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243827761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243849476
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243850053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243852255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243852255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243866195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243866929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243901539
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347243906097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243954194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243954194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347243954303
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244142179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244146457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244146472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244146535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244164518
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244167422
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244168718
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244169592
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244187497
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244189527
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244195318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244204966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244204966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244205403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244223246
activated,editor,org.nodeclipse.ui,0.1.7,"org.nodeclipse.ui.editors.NodeEditor",1347244251548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347244261570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347244262601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347244264505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244265582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244301190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347244325199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347244325980
